E:\绿色专利（房东）\2017\201710.xlsx,green_no:25236,total_no:240049
E:\绿色专利（房东）\2017\201709.xlsx,green_no:29793,total_no:287588
E:\绿色专利（房东）\2017\201711.xlsx,green_no:36239,total_no:343576
E:\绿色专利（房东）\2017\201712.xlsx,green_no:47652,total_no:450346
E:\绿色专利（房东）\2017\201707.xlsx,green_no:26376,total_no:254580
E:\绿色专利（房东）\2017\201708.xlsx,green_no:28766,total_no:270991
E:\绿色专利（房东）\2017\201706.xlsx,green_no:28012,total_no:272386
E:\绿色专利（房东）\2017\201705.xlsx,green_no:24474,total_no:241538
E:\绿色专利（房东）\2017\201704.xlsx,green_no:21916,total_no:209455
E:\绿色专利（房东）\2017\201702.xlsx,green_no:13187,total_no:132573
E:\绿色专利（房东）\2017\201701.xlsx,green_no:17199,total_no:168259
E:\绿色专利（房东）\2017\201703.xlsx,green_no:23474,total_no:236416
E:\绿色专利（房东）\incopat\2019\201910.xlsx,green_no:26475,total_no:253127
E:\绿色专利（房东）\incopat\2019\201912.xlsx,green_no:37893,total_no:364492
E:\绿色专利（房东）\incopat\2019\201911.xlsx,green_no:32456,total_no:302206
E:\绿色专利（房东）\incopat\2019\201909.xlsx,green_no:31079,total_no:287766
E:\绿色专利（房东）\incopat\2019\201908.xlsx,green_no:29043,total_no:270917
E:\绿色专利（房东）\incopat\2019\201906.xlsx,green_no:25954,total_no:246580
E:\绿色专利（房东）\incopat\2019\201905.xlsx,green_no:25970,total_no:250924
E:\绿色专利（房东）\incopat\2019\201907.xlsx,green_no:30934,total_no:294008
E:\绿色专利（房东）\incopat\2019\201903.xlsx,green_no:22855,total_no:221693
E:\绿色专利（房东）\incopat\2019\201904.xlsx,green_no:26576,total_no:255912
E:\绿色专利（房东）\incopat\2019\201902.xlsx,green_no:11484,total_no:110119
E:\绿色专利（房东）\incopat\2019\201901.xlsx,green_no:24148,total_no:238302
E:\绿色专利（房东）\incopat\2018\201810.xlsx,green_no:25714,total_no:248296
E:\绿色专利（房东）\incopat\2018\201809.xlsx,green_no:29353,total_no:287438
E:\绿色专利（房东）\incopat\2018\201811.xlsx,green_no:32962,total_no:318441
E:\绿色专利（房东）\incopat\2018\201812.xlsx,green_no:41324,total_no:392754
E:\绿色专利（房东）\incopat\2018\201808.xlsx,green_no:31044,total_no:303491
E:\绿色专利（房东）\incopat\2018\201807.xlsx,green_no:29839,total_no:289562
E:\绿色专利（房东）\incopat\2018\201806.xlsx,green_no:29097,total_no:282735
E:\绿色专利（房东）\incopat\2018\201804.xlsx,green_no:27177,total_no:260638
E:\绿色专利（房东）\incopat\2018\201805.xlsx,green_no:30685,total_no:297095
E:\绿色专利（房东）\incopat\2018\201803.xlsx,green_no:25374,total_no:247584
E:\绿色专利（房东）\incopat\2018\201802.xlsx,green_no:16653,total_no:162518
E:\绿色专利（房东）\incopat\2018\201801.xlsx,green_no:23990,total_no:230506
E:\绿色专利（房东）\incopat\2020\12\30.xls,green_no:1164,total_no:10000
E:\绿色专利（房东）\incopat\2020\12\28.xls,green_no:1205,total_no:10000
E:\绿色专利（房东）\incopat\2020\12\9.xls,green_no:976,total_no:10000
E:\绿色专利（房东）\incopat\2020\12\8.xls,green_no:1187,total_no:10000
